Date Time,Hours, Water Level
10/2/2017 0:00,0.00,-0.029
10/2/2017 0:06,0.10,0.002
10/2/2017 0:12,0.20,0.032
10/2/2017 0:18,0.30,0.058
10/2/2017 0:24,0.40,0.089
10/2/2017 0:30,0.50,0.114
10/2/2017 0:36,0.60,0.142
10/2/2017 0:42,0.70,0.166
10/2/2017 0:48,0.80,0.192
10/2/2017 0:54,0.90,0.216
10/2/2017 1:00,1.00,0.24
10/2/2017 1:06,1.10,0.264
10/2/2017 1:12,1.20,0.286
10/2/2017 1:18,1.30,0.306
10/2/2017 1:24,1.40,0.327
10/2/2017 1:30,1.50,0.35
10/2/2017 1:36,1.60,0.369
10/2/2017 1:42,1.70,0.388
10/2/2017 1:48,1.80,0.404
10/2/2017 1:54,1.90,0.421
10/2/2017 2:00,2.00,0.436
10/2/2017 2:06,2.10,0.448
10/2/2017 2:12,2.20,0.459
10/2/2017 2:18,2.30,0.468
10/2/2017 2:24,2.40,0.475
10/2/2017 2:30,2.50,0.478
10/2/2017 2:36,2.60,0.478
10/2/2017 2:42,2.70,0.472
10/2/2017 2:48,2.80,0.468
10/2/2017 2:54,2.90,0.46
10/2/2017 3:00,3.00,0.45
10/2/2017 3:06,3.10,0.436
10/2/2017 3:12,3.20,0.426
10/2/2017 3:18,3.30,0.413
10/2/2017 3:24,3.40,0.396
10/2/2017 3:30,3.50,0.381
10/2/2017 3:36,3.60,0.366
10/2/2017 3:42,3.70,0.353
10/2/2017 3:48,3.80,0.337
10/2/2017 3:54,3.90,0.32
10/2/2017 4:00,4.00,0.302
10/2/2017 4:06,4.10,0.286
10/2/2017 4:12,4.20,0.267
10/2/2017 4:18,4.30,0.25
10/2/2017 4:24,4.40,0.232
10/2/2017 4:30,4.50,0.215
10/2/2017 4:36,4.60,0.201
10/2/2017 4:42,4.70,0.185
10/2/2017 4:48,4.80,0.168
10/2/2017 4:54,4.90,0.153
10/2/2017 5:00,5.00,0.138
10/2/2017 5:06,5.10,0.123
10/2/2017 5:12,5.20,0.105
10/2/2017 5:18,5.30,0.09
10/2/2017 5:24,5.40,0.076
10/2/2017 5:30,5.50,0.059
10/2/2017 5:36,5.60,0.045
10/2/2017 5:42,5.70,0.03
10/2/2017 5:48,5.80,0.02
10/2/2017 5:54,5.90,0.006
10/2/2017 6:00,6.00,-0.007
10/2/2017 6:06,6.10,-0.019
10/2/2017 6:12,6.20,-0.027
10/2/2017 6:18,6.30,-0.043
10/2/2017 6:24,6.40,-0.056
10/2/2017 6:30,6.50,-0.069
10/2/2017 6:36,6.60,-0.082
10/2/2017 6:42,6.70,-0.092
10/2/2017 6:48,6.80,-0.106
10/2/2017 6:54,6.90,-0.118
10/2/2017 7:00,7.00,-0.134
10/2/2017 7:06,7.10,-0.146
10/2/2017 7:12,7.20,-0.158
10/2/2017 7:18,7.30,-0.167
10/2/2017 7:24,7.40,-0.181
